연도,시도,시군구,계약종별,1월,2월,3월,4월
2023,부산광역시,남구,산업용,40421839,39937760,43638199,41787534
2023,부산광역시,남구,농사용,103204,93533,81226,89693
2023,부산광역시,남구,가로등,969077,925882,854505,844298
2023,부산광역시,남구,심 야,1216076,1161185,836092,701463
2023,부산광역시,남구,합 계,125741048,121682376,112947576,111072960
2023,부산광역시,북구,주택용,36541067,35924560,30491691,31874583
2023,부산광역시,북구,일반용,33145645,31687609,25493182,24930259
2023,부산광역시,북구,교육용,2544048,2406190,1935816,1915111
2023,부산광역시,북구,산업용,9602929,9034820,8523695,8849695
2023,부산광역시,북구,농사용,75205,75336,62749,59235
2023,부산광역시,북구,가로등,867702,830605,763852,727151
2023,부산광역시,북구,심 야,1455445,1399443,932151,555228
2023,부산광역시,북구,합 계,84232041,81358563,68203136,68911262
2023,부산광역시,해운대구,주택용,59084500,58595725,50009610,52836575
2023,부산광역시,해운대구,일반용,82002614,75577536,66636531,64510660
2023,부산광역시,해운대구,교육용,3986601,3320715,2943414,2906247
2023,부산광역시,해운대구,산업용,16538571,16401833,15133505,13123469
2023,부산광역시,해운대구,농사용,140923,134544,135900,138134
2023,부산광역시,해운대구,가로등,1481906,1399751,1310747,1259670
2023,부산광역시,해운대구,심 야,1548664,1522747,1124304,908181
2023,부산광역시,해운대구,합 계,164783779,156952851,137294011,135682936
2023,부산광역시,사하구,주택용,40137463,39255988,33295942,34568535
2023,부산광역시,사하구,일반용,40620832,38734162,31628566,31468692
2023,부산광역시,사하구,교육용,4208441,3730667,3149958,2984099
2023,부산광역시,사하구,산업용,112070302,121317422,124858429,122015078
2023,부산광역시,사하구,농사용,246914,242695,266255,280871
2023,부산광역시,사하구,가로등,1038071,995244,959936,887290
2023,부산광역시,사하구,심 야,1817770,1719768,1190824,878674
2023,부산광역시,사하구,합 계,200139793,205995946,195349910,193083239
2023,부산광역시,금정구,주택용,30276253,29909073,25144952,26247624
2023,부산광역시,금정구,일반용,37663225,36087606,29227892,28415009
2023,부산광역시,금정구,교육용,8265010,7444083,6140626,5845493
2023,부산광역시,금정구,산업용,22522114,20400423,19775976,19624936
2023,부산광역시,금정구,농사용,707993,633725,408877,318388
2023,부산광역시,금정구,가로등,1129965,1087409,1018990,980771
2023,부산광역시,금정구,심 야,2234381,2139550,1470542,1087341
2023,부산광역시,금정구,합 계,102798941,97701869,83187855,82519562
2023,부산광역시,강서구,주택용,20335905,20167983,17175062,18037773
2023,부산광역시,강서구,일반용,61669237,57547482,53038342,52931916
2023,부산광역시,강서구,교육용,1191582,1188478,937702,915674
2023,부산광역시,강서구,산업용,292381431,285164665,290039923,285112389
2023,부산광역시,강서구,농사용,9348108,8505442,4977079,4077462
2023,부산광역시,강서구,가로등,2358014,2254698,2061153,1964863
2023,부산광역시,강서구,심 야,2738976,2645826,1726278,1248928
2023,부산광역시,강서구,합 계,390023253,377474574,369955539,364289005
2023,부산광역시,연제구,주택용,28174773,27934289,23559208,24651308
2023,부산광역시,연제구,일반용,38686267,36348711,30586883,29274217
2023,부산광역시,연제구,교육용,1662534,1513088,1152902,1125395
2023,부산광역시,연제구,산업용,5540950,5090076,4977792,4896676
2023,부산광역시,연제구,농사용,11597,11905,11261,11662
2023,부산광역시,연제구,가로등,551585,525208,478938,444619
2023,부산광역시,연제구,심 야,1262867,1177247,794463,557707
2023,부산광역시,연제구,합 계,75890573,72600524,61561447,60961584
2023,부산광역시,수영구,주택용,25350570,25144318,21280357,22312891
2023,부산광역시,수영구,일반용,30277058,29105923,23554193,23108177
2023,부산광역시,수영구,교육용,745639,748777,591551,591050
2023,부산광역시,수영구,산업용,1228423,1190839,1049508,1100381
2023,부산광역시,수영구,농사용,45766,43718,31840,28336
2023,부산광역시,수영구,가로등,471552,440876,412773,387337
2023,부산광역시,수영구,심 야,1107055,1066256,762948,558748
2023,부산광역시,수영구,합 계,59226063,57740707,47683170,48086920
2023,부산광역시,사상구,주택용,26781120,26244303,22179459,23000904
2023,부산광역시,사상구,일반용,40750097,38563809,31768350,30857209
2023,부산광역시,사상구,교육용,4320854,3963150,3554275,2985569
2023,부산광역시,사상구,산업용,70798389,69308780,62856069,62270270
2023,부산광역시,사상구,농사용,135668,134635,131180,165739
2023,부산광역시,사상구,가로등,907672,871576,809183,729364
2023,부산광역시,사상구,심 야,1728636,1631686,1034169,738195
2023,부산광역시,사상구,합 계,145422436,140717939,122332685,120747250
2023,부산광역시,기장군,주택용,14427827,13616009,12401569,12215901
2023,부산광역시,기장군,일반용,39205865,38877357,39049427,40169766
